date,product_code,product,variant,sold_quantity,gross_price,total_gross_price
8/1/2021,A7321160303,AQ Wi Power Dx3,Premium,158,42.85,6770.03
8/1/2021,A7321160302,AQ Wi Power Dx3,Plus,193,43.94,8481.31
8/1/2021,A7321160301,AQ Wi Power Dx3,Standard,459,40.8,18725.09
8/1/2021,A7220160203,AQ Wi Power Dx2,Premium,586,37.48,21962.34
8/1/2021,A7220160202,AQ Wi Power Dx2,Plus,264,35.21,9294.2
8/1/2021,A7219160201,AQ Wi Power Dx2,Standard,531,32.96,17500.43
8/1/2021,A7119160103,AQ Wi Power Dx1,Premium,137,28.77,3941.98
8/1/2021,A7119160102,AQ Wi Power Dx1,Plus,454,29.93,13586.59
8/1/2021,A7118160101,AQ Wi Power Dx1,Standard,251,29.67,7447.47
8/1/2021,A6819160203,AQ Pen Drive DRC,Premium,436,5.1,2222.9
8/1/2021,A6818160202,AQ Pen Drive DRC,Plus,1538,3.85,5926.07
8/1/2021,A6818160201,AQ Pen Drive DRC,Standard,774,3,2321.23
8/1/2021,A6720160103,AQ Pen Drive 2 IN 1,Premium,433,4.44,1923
8/1/2021,A6620160501,AQ Clx3,Standard,339,22.85,7747.17
8/1/2021,A6520160403,AQ Clx2,Premium,940,21.28,20006.02
8/1/2021,A6520160402,AQ Clx2,Plus,110,20.17,2218.15
8/1/2021,A6519160401,AQ Clx2,Standard,778,20.29,15784.76
8/1/2021,A6419160303,AQ Clx1,Premium,772,19.33,14926
8/1/2021,A6419160302,AQ Clx1,Plus,926,19.67,18216.55
8/1/2021,A6419160301,AQ Clx1,Standard,572,17.8,10184.06
8/1/2021,A6319160203,AQ Neuer SSD,Premium,449,19.34,8685.14
8/1/2021,A6319160202,AQ Neuer SSD,Plus,574,18.57,10661.07
8/1/2021,A6319160201,AQ Neuer SSD,Standard,743,17.36,12897.74
8/1/2021,A6219160103,AQ Digit SSD,Premium,487,16.3,7938.25
8/1/2021,A6218160102,AQ Digit SSD,Plus,270,15.25,4116.99
8/1/2021,A6218160101,AQ Digit SSD,Standard,886,13.59,12044.37
8/1/2021,A6120110206,AQ HOME Allin1 Gen 2,Plus 3,3,810.6,2431.81
8/1/2021,A6120110205,AQ HOME Allin1 Gen 2,Plus 2,1,834.98,834.98
8/1/2021,A6119110204,AQ HOME Allin1 Gen 2,Plus 1,5,807.26,4036.32
8/1/2021,A6119110203,AQ HOME Allin1 Gen 2,Standard 3,3,769.56,2308.69
8/1/2021,A6119110202,AQ HOME Allin1 Gen 2,Standard 2,6,790.1,4740.62
8/1/2021,A6119110201,AQ HOME Allin1 Gen 2,Standard 1,5,824.09,4120.44
8/1/2021,A6019110108,AQ Home Allin1,Premium 2,1,796.66,796.66
8/1/2021,A6019110107,AQ Home Allin1,Premium 1,3,785.99,2357.98
8/1/2021,A6018110106,AQ Home Allin1,Plus 3,5,787.59,3937.94
8/1/2021,A6018110105,AQ Home Allin1,Plus 2,6,766.65,4599.88
8/1/2021,A6018110104,AQ Home Allin1,Plus 1,4,749.1,2996.39
8/1/2021,A6018110103,AQ Home Allin1,Standard 3,5,770.98,3854.89
8/1/2021,A6018110102,AQ Home Allin1,Standard 2,5,764.05,3820.27
8/1/2021,A6018110101,AQ Home Allin1,Standard 1,3,800.46,2401.37
8/1/2021,A5821110108,AQ BZ Allin1,Premium 2,13,746.74,9707.6
8/1/2021,A5820110107,AQ BZ Allin1,Premium 1,16,737.68,11802.84
8/1/2021,A5820110106,AQ BZ Allin1,Plus 3,21,692.52,14543.01
8/1/2021,A5820110105,AQ BZ Allin1,Plus 2,7,709.39,4965.75
8/1/2021,A5820110104,AQ BZ Allin1,Plus 1,19,690.5,13119.44
8/1/2021,A5820110103,AQ BZ Allin1,Standard 3,15,735.15,11027.2
8/1/2021,A5820110102,AQ BZ Allin1,Standard 2,14,697.55,9765.76
8/1/2021,A5820110101,AQ BZ Allin1,Standard 1,19,681.3,12944.74
8/1/2021,A5721110506,AQ Smash 2,Plus Black,16,720.55,11528.74
8/1/2021,A5721110505,AQ Smash 2,Plus Cool Blue,3,674.43,2023.28
8/1/2021,A5721110504,AQ Smash 2,Plus Firey Red,5,655.83,3279.17
8/1/2021,A5721110503,AQ Smash 2,Standard Black,4,678.3,2713.21
8/1/2021,A5721110502,AQ Smash 2,Standard Cool Blue,11,627.99,6907.93
8/1/2021,A5721110501,AQ Smash 2,Standard Firey Red,12,649.69,7796.31
8/1/2021,A5621110408,AQ Smash 1,Premium Misty Green,3,657.25,1971.76
8/1/2021,A5621110407,AQ Smash 1,Premium Black,10,655.78,6557.78
8/1/2021,A5621110406,AQ Smash 1,Plus Black,4,644.38,2577.51
8/1/2021,A5621110405,AQ Smash 1,Plus Cool Blue,17,601.82,10230.89
8/1/2021,A5621110404,AQ Smash 1,Plus Firey Red,8,639.96,5119.69
8/1/2021,A5621110403,AQ Smash 1,Standard Black,11,631.19,6943.04
8/1/2021,A5620110402,AQ Smash 1,Standard Cool Blue,6,593.83,3562.98
8/1/2021,A5620110401,AQ Smash 1,Standard Firey Red,11,642.07,7062.77
8/1/2021,A5520110308,AQ Gamer 3,Premium Misty Green,16,590.12,9441.85
8/1/2021,A5520110307,AQ Gamer 3,Premium Black,10,609.79,6097.93
8/1/2021,A5520110306,AQ Gamer 3,Plus Black,13,639.68,8315.86
8/1/2021,A5520110305,AQ Gamer 3,Plus Cool Blue,13,632.49,8222.35
8/1/2021,A5519110304,AQ Gamer 3,Plus Firey Red,6,597.77,3586.62
8/1/2021,A5519110303,AQ Gamer 3,Standard Black,11,604.27,6646.99
8/1/2021,A5519110302,AQ Gamer 3,Standard Cool Blue,10,605.86,6058.64
8/1/2021,A5519110301,AQ Gamer 3,Standard Firey Red,5,589.74,2948.71
8/1/2021,A5419110208,AQ Gamer 2,Premium Misty Green,10,608.41,6084.07
8/1/2021,A5419110207,AQ Gamer 2,Premium Black,8,599.23,4793.84
8/1/2021,A5419110206,AQ Gamer 2,Plus Black,4,601.64,2406.56
8/1/2021,A5419110205,AQ Gamer 2,Plus Cool Blue,12,570.76,6849.09
8/1/2021,A5419110204,AQ Gamer 2,Plus Firey Red,14,602.92,8440.88
8/1/2021,A5419110203,AQ Gamer 2,Standard Black,12,595.57,7146.85
8/1/2021,A5419110202,AQ Gamer 2,Standard Cool Blue,6,567.93,3407.56
8/1/2021,A5419110201,AQ Gamer 2,Standard Firey Red,4,585,2340
8/1/2021,A5318110108,AQ Gamer 1,Premium Misty Green,14,579.66,8115.25
8/1/2021,A5318110107,AQ Gamer 1,Premium Black,9,571.65,5144.84
8/1/2021,A5318110106,AQ Gamer 1,Plus Black,7,565.87,3961.12
8/1/2021,A5318110105,AQ Gamer 1,Plus Cool Blue,10,551.33,5513.3
8/1/2021,A5318110104,AQ Gamer 1,Plus Firey Red,12,586.38,7036.59
8/1/2021,A5318110103,AQ Gamer 1,Standard Black,10,584.97,5849.72
8/1/2021,A5220110408,AQ BZ Gen Z,Premium Misty Green,9,533.04,4797.36
8/1/2021,A5219110407,AQ BZ Gen Z,Premium Black,12,545.59,6547.12
8/1/2021,A5219110406,AQ BZ Gen Z,Plus Red,7,550.46,3853.22
8/1/2021,A5219110405,AQ BZ Gen Z,Plus Blue,21,521.26,10946.47
8/1/2021,A5219110403,AQ BZ Gen Z,Standard Red,25,525.8,13145.11
8/1/2021,A5219110402,AQ BZ Gen Z,Standard Blue,24,490.16,11763.8
8/1/2021,A5219110401,AQ BZ Gen Z,Standard Grey,13,506.96,6590.54
8/1/2021,A5119110308,AQ BZ Gen Y,Premium Misty Green,26,512.58,13327.11
